#1.20015e+02
2.54822e-02    4.41170e-03
7.10190e-02    1.34462e-02
1.12284e-01    2.29090e-02
1.49074e-01    3.28112e-02
1.81527e-01    4.31636e-02
2.10174e-01    5.39759e-02
2.35843e-01    6.52571e-02
2.59462e-01    7.70147e-02
2.81801e-01    8.92552e-02
3.03257e-01    1.01984e-01
3.23753e-01    1.15203e-01
3.42766e-01    1.28916e-01
3.59454e-01    1.43121e-01
3.72823e-01    1.57817e-01
3.81900e-01    1.73000e-01
3.85894e-01    1.88662e-01
3.84320e-01    2.04795e-01
3.77092e-01    2.21387e-01
3.64560e-01    2.38426e-01
3.47465e-01    2.55893e-01
3.26821e-01    2.73771e-01
3.03739e-01    2.92038e-01
2.79245e-01    3.10670e-01
2.54139e-01    3.29640e-01
2.28936e-01    3.48921e-01
2.03884e-01    3.68480e-01
1.79040e-01    3.88286e-01
1.54352e-01    4.08303e-01
1.29739e-01    4.28496e-01
1.05126e-01    4.48826e-01
8.04710e-02    4.69256e-01
5.57546e-02    4.89745e-01
3.09757e-02    5.10255e-01
6.14000e-03    5.30744e-01
-1.87465e-02    5.51174e-01
-4.36794e-02    5.71504e-01
-6.86537e-02    5.91697e-01
-9.36586e-02    6.11714e-01
-1.18670e-01    6.31520e-01
-1.43641e-01    6.51079e-01
-1.68497e-01    6.70360e-01
-1.93135e-01    6.89330e-01
-2.17432e-01    7.07962e-01
-2.41282e-01    7.26229e-01
-2.64654e-01    7.44107e-01
-2.87691e-01    7.61574e-01
-3.10828e-01    7.78613e-01
-3.34882e-01    7.95205e-01
-3.61017e-01    8.11338e-01
-3.90455e-01    8.27000e-01
-4.23872e-01    8.42183e-01
-4.60564e-01    8.56879e-01
-4.97679e-01    8.71084e-01
-5.29941e-01    8.84797e-01
-5.50283e-01    8.98016e-01
-5.51496e-01    9.10745e-01
-5.28551e-01    9.22985e-01
-4.80667e-01    9.34743e-01
-4.11980e-01    9.46024e-01
-3.30257e-01    9.56836e-01
-2.44371e-01    9.67189e-01
-1.61965e-01    9.77091e-01
-8.82274e-02    9.86554e-01
-2.57363e-02    9.95588e-01
